Label,Longitude,Latitude,Elevation,Name,NESID
Datlamen Pass,-132.584,53.546,287,datlamen,
Rennell Pass,-132.365,53.343,315,rennellpass,
Mt Maya,-126.07,52.287,1681,mountmaya,
Clayton Falls,-126.891,52.28,1260,claytonfalls,BCF070F8
Ape Lake,-126.263,52.135,1423,apelake,BCF680B2
Machmell Kliniklini,-126.141,51.656,1601,machmellkliniklini,BCF05614
Machmell,-126.451,51.593,332,machmell,
Buxton East Ridge,-127.957,51.59,738,eastbuxton,
Steph 3,-126.363,50.318,1020,steph3,
Cain Ridge Run,-126.3515,50.2265,1330,cainridgerun,49A0216E
Cain Lower,-126.3560942,50.22526702,1330,lowercain,49004C0C
Mt Cayley ,-123.277,50.071,1588,mountcayley,BCF00668
Mt Arrowsmith,-124.567,49.207,1464,mountarrowsmith,490051A8
Tetrahedron,-123.606,49.6,1423,tetrahedron,4900A12C
Klinaklini,-125.77,51.38,1532,klinaklini,4900B25A
Homathko,-124.95,51.102,1481,homathko,434BC438
Perseverance,-125.131,49.594,970,perseverance,49006AE0
Plummer Hut,-125.165,51.374,2680,plummerhut,49007996
Upper Cruickshank,-125.36099,49.668914,1348,uppercruickshank,49008912
Upper Skeena,-127.65730,56.53839,1546,upperskeena,49A02FBC
